beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,arbeitsort.entfernung,arbeitsort.plz,kundennummerHash,arbeitsort.adresszusatz,arbeitsort.ortsteil
Helfer/in - Reinigung,"Reinigungskraft, Bürogebäude (m/w/d)",18024-1008y000Ybt0C-S,Dorfner GmbH & Co. KG,2025-09-20,2025-09-20T07:41:52.209,2025-10-20,https://helixjobs.com/_/jobad?prj=556p133045&source=ba,Bamberg,null,Bayern,Deutschland,49.8940248,10.8932115,1,,,,
Fachkinderkrankenpfleger/in - Intensivpflege/Anästhesie, Pflegefachhelfer/MFA (m/w/d) – Starte durch bei einem unserer Top-Gesundheitsversorger für med...,19147-1736435150_e8058671-S,MEDWING Bamberg,2025-09-19,2025-09-19T00:00:00,2025-09-18,https://medwing.com/jobs/en-de/job/e8058671-36d0-438b-8392-b70cf08b497a?utm_source=arbeitsagentur,Bamberg,Pödeldorfer Straße 1,Bayern,Deutschland,49.8993997,10.9036058,0,96052,,,
IT-Administrator/in,Administrator Linux Senior (m/w/d),10001-1001868931-S,ANG GmbH,2025-09-19,2025-09-19T10:06:12.903,2025-09-19,,Bamberg,null,Bayern,Deutschland,49.894024854000065,10.893211472000075,1,,80alU6Yhge4-BWuOWzzvpDA9Vn4DkG3wAqz0ih6j7G4=,,
Fachinformatiker/in - Systemintegration,Systemadministrator (m/w/d),10001-1001868781-S,ANG GmbH,2025-09-19,2025-09-19T09:56:47.478,2025-09-19,,Bamberg,null,Bayern,Deutschland,49.894024854000065,10.893211472000075,1,,80alU6Yhge4-BWuOWzzvpDA9Vn4DkG3wAqz0ih6j7G4=,,
Fachinformatiker/in - Systemintegration,Netzwerkadministrator (m/w/d),10001-1001867558-S,NConsult GmbH,2025-09-19,2025-09-19T08:27:04.678,2025-09-19,,Bamberg,null,Bayern,Deutschland,49.894024854000065,10.893211472000075,1,,j0aPmLopen8lCLYNYFVQvSNU_Zt6R8pPPsn8NWUkVbA=,,
"Helfer/in - Büro, Verwaltung",Mitarbeiter- Posteingangsbearbeitung,12659-c293fcfcf1f14b2-S,EXPERTS   TALENTS Dresden GmbH,2025-09-19,2025-09-19T13:23:27.435,2025-09-19,,Bamberg,null,Bayern,Deutschland,49.894024825714595,10.893211545764702,1,,y5Yp9HyrhwWXBJgn0NCS3Sto8DNZKW_IJzzLbklZo_k=,,
IT-Testkoordinator/in,mgm technology partners GmbH: Softwaretester für Testautomatisierung (m/w/d),11956-2858391758232801-S,mgm technology partners GmbH,2025-09-19,2025-09-19T07:05:49.797,2025-09-19,https://www.empfehlungsbund.de/job/285839,Bamberg,null,Bayern,Deutschland,49.8930374,10.8875503,1,96047,,,
Account-Manager/in,Partner Manager - Checkout (m/w/d),10001-1001864069-S,Computop Paygate GmbH,2025-09-18,2025-09-18T13:33:44.81,2025-09-18,,Bamberg,Schwarzenbergstr. 4,Bayern,Deutschland,49.8977359,10.901725,0,96050,xBmpEx6CrUg0Kh2NWmhCFEcPt4bUwUy55No42eOLkM8=,,
Empfangsmitarbeiter/in (Hotel),Wir suchen Sie für unsere Rezeption!,10000-1203791511-S,Kleehof GmbH & Co. KG,2025-09-18,2025-09-18T09:22:50.334,2025-09-18,,Bamberg,Untere Königstr. 8,Bayern,Deutschland,49.8972505,10.8911234,0,96052,kfJnRGFW_W-YYzkeIWVne5jm9CvQTcPEQbZgh4kGlGM=,,
Callcenteragent/in,Büromitarbeiter Kundenservice (m/w/d) Quereinsteiger,14385-498-2432980-25-S,ARWA Personaldienstleistungen GmbH,2025-09-19,2025-09-19T17:58:40.194,2025-09-22,,Bamberg,null,Bayern,Deutschland,49.91167127413652,10.894923263737478,2,96052,4eqaOtAjZOgUKIYCAOwlM2YfWJ6jG1zUP7Vvv7jiS5w=,,
